theta_0,theta_1,distances,
0.000775475, 0.0603109, 220.75, 
0.000398917, 0.135026, 318.682, 
0.000579356, 0.0395076, 239.663, 
0.000790253, 0.126492, 301.615, 
0.00211865, 0.171889, 214.559, 
7.34226e-05, 0.130834, 325.37, 
0.00117252, 0.189292, 301.697, 
0.00154856, 0.0632892, 57.0447, 
0.00263533, 0.19606, 194.644, 
0.00142531, 0.0711999, 91.0308, 
0.00108416, 0.150951, 285.185, 
0.001423, 0.148841, 258.89, 
0.000389332, 0.168627, 320.749, 
0.000422059, 0.0779883, 307.873, 
0.000216482, 0.191848, 323.776, 
0.00036102, 0.0723111, 308.79, 
0.00097332, 0.020489, 137.665, 
0.0010228, 0.0572602, 153.622, 
0.00262915, 0.156178, 104.373, 
0.000669946, 0.113023, 307.752, 
0.00217889, 0.0842, 41.0452, 
0.00276583, 0.024557, 108.829, 
0.00238312, 0.144754, 121.204, 
0.00221562, 0.0188465, 123.527, 
0.00177085, 0.197896, 274.879, 
0.00152666, 0.0647735, 70.6169, 
0.00017382, 0.157723, 324.549, 
0.00138037, 0.0892484, 167.466, 
7.05741e-05, 0.0254488, 323.056, 
0.00292596, 0.0590285, 77.884, 
0.000115056, 0.110678, 324.324, 
0.00196134, 0.0704963, 50.1181, 
0.0023057, 0.18261, 206.124, 
0.00161749, 0.18389, 277.852, 
0.000472997, 0.0650273, 293.312, 
0.00250333, 0.142546, 105.203, 
0.00219491, 0.0922045, 45.7931, 
0.00147322, 0.135933, 249.897, 
0.00171685, 0.0845697, 66.2564, 
0.00165394, 0.0704158, 69.0929, 
0.00259901, 0.176643, 144.312, 
0.000819015, 0.0127857, 183.753, 
0.00291722, 0.175004, 122.093, 
0.00106462, 0.16124, 295.545, 
0.00144167, 0.0535112, 68.2427, 
0.00237489, 0.135462, 82.8667, 
0.00295621, 0.0566278, 81.4714, 
0.000537197, 0.12669, 312.52, 
0.00153965, 0.041213, 69.7845, 
0.00139991, 0.0640797, 75.9774, 
0.00241759, 0.169336, 159.381, 
0.00277536, 0.198007, 160.344, 
0.00147313, 0.19039, 280.192, 
0.00102511, 0.106237, 256.604, 
0.00233589, 0.132904, 86.0255, 
0.00236514, 0.150339, 126.105, 
0.00240495, 0.157446, 123.47, 
0.00259572, 0.0598693, 68.1031, 
0.00255943, 0.0610755, 70.204, 
0.000796726, 0.162911, 309.424, 
0.00126391, 0.164114, 284, 
0.00136781, 0.134034, 236.389, 
0.000414512, 0.0478874, 290.405, 
6.06758e-05, 0.0348807, 323.306, 
0.00294771, 0.0693776, 75.5248, 
0.000997193, 0.0623471, 171.945, 
0.00126619, 0.182475, 290.816, 
0.0006701, 0.188377, 317.059, 
0.000111044, 0.0799569, 323.566, 
0.000935572, 0.0352441, 126.641, 
0.00208019, 0.106544, 75.222, 
0.00206908, 0.076234, 48.438, 
0.00141682, 0.15692, 268.764, 
0.00205413, 0.167716, 202.987, 
0.00215085, 0.130148, 113.728, 
0.00165432, 0.138981, 215.005, 
0.00156458, 0.138186, 230.28, 
0.00108194, 0.0380929, 97.764, 
0.00236689, 0.0730302, 50.8874, 
0.00138323, 0.146395, 267.887, 
0.00106664, 0.0687276, 176.456, 
0.00212418, 0.0452932, 69.1941, 
0.00181103, 0.0380675, 73.6114, 
0.00279778, 0.160281, 96.2146, 
0.00232415, 0.0580441, 60.6078, 
0.00255833, 0.145905, 87.8405, 
0.00295351, 0.056498, 80.6435, 
0.000229005, 0.0312126, 304.001, 
0.00265804, 0.177246, 141.121, 
0.000623033, 0.0504415, 253.001, 
0.000369226, 0.163737, 320.619, 
0.0027059, 0.0921934, 50.3853, 
0.00185178, 0.108437, 119.034, 
0.00133349, 0.0730957, 131.327, 
0.00252025, 0.0780039, 52.8957, 
0.0021052, 0.062035, 50.1511, 
9.01123e-05, 0.0409032, 322.952, 
0.00132513, 0.039813, 79.2465, 
0.00184574, 0.04692, 65.234, 
0.00228605, 0.0908507, 37.8144, 
0.000796676, 0.0656467, 223.041, 
0.00174131, 0.147481, 219.903, 
0.000923056, 0.0515031, 163.696, 
0.00218339, 0.163866, 170.29, 
0.000544365, 0.0718726, 288.033, 
0.00223199, 0.0207034, 117.917, 
0.00141465, 0.111052, 202.576, 
0.000260488, 0.110421, 320.039, 
7.56403e-05, 0.0184766, 321.922, 
0.00098205, 0.045027, 121.442, 
0.00119248, 0.0613726, 123.685, 
0.000717398, 0.105875, 297.853, 
0.0013828, 0.0967953, 172.707, 
0.000934045, 0.142114, 297.204, 
0.000958495, 0.0292567, 125.603, 
0.00167283, 0.0390542, 71.9099, 
0.00264516, 0.190761, 181.401, 
0.00226726, 0.17334, 169.761, 
0.00276887, 0.0295347, 99.9363, 
0.00178093, 0.0709499, 44.76, 
0.00105417, 0.0278181, 113.824, 
0.000298568, 0.185597, 322.838, 
0.0012789, 0.125205, 255.622, 
0.00200184, 0.040273, 74.0736, 
0.00144318, 0.0100978, 190.858, 
0.00294674, 0.117044, 50.1005, 
0.00215935, 0.163807, 183.431, 
0.000841654, 0.140011, 299.758, 
0.00223795, 0.0396052, 77.6147, 
0.00212242, 0.0348027, 81.9929, 
0.00168334, 0.162103, 241.533, 
0.00073478, 0.177204, 314.424, 
0.00171798, 0.174719, 249.44, 
0.00192752, 0.0710297, 46.0702, 
0.00203511, 0.137466, 157.251, 
0.00225718, 0.0778263, 46.5743, 
6.49778e-05, 0.0262427, 323.105, 
0.00279035, 0.187013, 136.239, 
0.000369953, 0.0456343, 298.466, 
0.000940086, 0.087168, 246.042, 
0.000543592, 0.0686718, 293.811, 
0.00200652, 0.0097851, 191.211, 
0.000199987, 0.0452994, 314.903, 
0.000935233, 0.165395, 304.387, 
0.00148341, 0.0576615, 68.8282, 
0.00198625, 0.0514067, 57.2164, 
0.0024544, 0.0395011, 80.7481, 
